"date","freq","btc"
2011-02-15,3551,95756.484
2011-02-16,3662,81916.75
2011-02-17,3702,104719.74
2011-02-18,3546,149183.44
2011-02-19,2722,209369.14
2011-02-20,3760,224324.62
2011-02-21,3423,252555.78
2011-02-22,3818,448857.94
2011-02-23,3753,252934.92
2011-02-24,3836,226035.9
2011-02-25,3599,182913.56
2011-02-26,3466,177441.16
2011-02-27,3583,179735.69
2011-02-28,3278,166156.66
2011-03-01,5183,1012650.6
2011-03-02,3654,2439410.8
2011-03-03,5691,349548.5
2011-03-04,3356,207415.53
2011-03-05,3354,183923.67
2011-03-06,3500,197434.83
2011-03-07,3678,176692.73
2011-03-08,4102,201802.92
2011-03-09,3289,288618.6
2011-03-10,3098,439409.34
2011-03-11,3427,124780.984
2011-03-12,4120,189102.16
2011-03-13,4093,221099.19
2011-03-14,4065,176944.97
2011-03-15,4535,129251.02
2011-03-16,4737,164842.16
2011-03-17,4343,155730.33
2011-03-18,4579,178392.11
2011-03-19,4284,111094.9
2011-03-20,7451,144750.72
2011-03-21,7498,195100.78
2011-03-22,4193,197998.8
2011-03-23,7842,287411.4
2011-03-24,4445,236718.75
2011-03-25,4196,330709.53
2011-03-26,6552,271356.7
2011-03-27,5611,151925.94
2011-03-28,6817,152593.67
2011-03-29,3818,111568.33
2011-03-30,4156,140856.95
2011-03-31,4046,129630.586
2011-04-01,3199,81561.664
2011-04-02,3920,110998.14
2011-04-03,4034,108877.14
2011-04-04,5231,150546.14
2011-04-05,4082,119586.59
2011-04-06,3508,97638.03
2011-04-07,3622,104077.945
2011-04-08,3854,140212.27
2011-04-09,3626,138006.08
2011-04-10,3722,97277.21
2011-04-11,3802,100214.195
2011-04-12,4955,161216.27
2011-04-13,5315,186836
2011-04-14,5205,138000.55
2011-04-15,4327,224131.86
2011-04-16,3682,238474.03
2011-04-17,6075,1318658
2011-04-18,4594,128300.8
2011-04-19,7614,7306576.5
2011-04-20,4637,143195.31
2011-04-21,4320,442426.88
2011-04-22,3939,164169.11
2011-04-23,5724,200289.95
2011-04-24,4153,84291.65
2011-04-25,5570,119366.805
2011-04-26,8199,202322.31
2011-04-27,7916,237178.88
2011-04-28,6115,724663.75
2011-04-29,8116,222832.33
2011-04-30,8718,404254.3
2011-05-01,7303,179533.53
2011-05-02,6190,130783.78
2011-05-03,6751,309422.53
2011-05-04,6188,181876.98
2011-05-05,7745,171111.05
2011-05-06,6894,287318.1
2011-05-07,8215,420913.3
2011-05-08,7028,362426.62
2011-05-09,7484,329499.9
2011-05-10,7155,396971.03
2011-05-11,6685,177746.95
2011-05-12,8394,483080.38
2011-05-13,8632,1746264.6
2011-05-14,9799,441381.7
